NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Ponte Nova,Engenharia Civil,109986,Engenharia civil,Arquitetura e construção,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,3,2013.0,3,2019.0,2,2019.0,3,2019.0,700.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SC,Blumenau,História,108848,História formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,3,2017.0,3,2017.0,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Andrelândia,História,88778,História formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,3,2017.0,2,2017.0,3,2017.0,450.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,Mauá,Processos Gerenciais,1517333,Gestão de negócios,Negócios e administração,3.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,-,,-,,-,,-,,1560.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Bernardo do Campo,Ciência De Dados,1595446,Ciência de dados,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,-,,-,,-,,-,,1500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Uberlândia,Arquitetura E Urbanismo,1597133,Arquitetura e urbanismo,Arquitetura e construção,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,1000.0,Em Atividade
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,BA,Cícero Dantas,Geografia,1143415,Geografia formação de professor,Educação,2.0,0,2,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,3,2015.0,3,2017.0,2,2017.0,SC,2017.0,1000.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,ES,Nova Venécia,Gastronomia,1595406,Gastronomia,Serviços pessoais,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,1000.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Araguari,Análise E Desenvolvimento De Sistemas,1517424,Sistemas de informação,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Batatais,Teologia,102322,Teologia,Humanidades (exceto línguas),1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2018.0,4,2018.0,SC,2018.0,400.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,Taubaté,Gestão Financeira,1445250,Gestão financeira,Negócios e administração,3.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,-,,-,,-,,-,,1560.0,Em Atividade
